SLNO, ORDER NO, ORDER DATE, CUSTOMER ERP NUMBER, ORDER PLACED BY, PRODUCT CODE, QTY,RATE, REQUESTED DELIVERY DATE,PAYMENT TERMS,ORDER CREDIT,END CUSTOMER NAME,OTHER INSTRUCTIONS,BUSINESS UNIT,CHEQUE NO,CHEQUE AMOUNT,CHEQUE DATE 
1,OMS-1004202230087,10-04-2022,C-0533,Equipment point,PB-1PD156J8S,80,100,10-04-2022,30DAYS,Ashit singh,AIIMS,0,Blood Bag,0,0,
2,OMS-1004202230087,10-04-2022,C-0533,Equipment point,PB-1CD106J8B,100,75,10-04-2022,30DAYS,Ashit singh,AIIMS,0,Blood Bag,0,0,
3,OMS-1004202230087,10-04-2022,C-0533,Equipment point,PB-3AO356J8X,225,145,10-04-2022,30DAYS,Ashit singh,AIIMS,0,Blood Bag,0,0,
4,OMS-1004202230087,10-04-2022,C-0533,Equipment point,PB-4AO456J8Y,80,250,10-04-2022,30DAYS,Ashit singh,AIIMS,0,Blood Bag,0,0,
5,OMS-1004202230087,10-04-2022,C-0533,Equipment point,PB-1CD356J8Y,100,75,10-04-2022,30DAYS,Ashit singh,AIIMS,0,Blood Bag,0,0,
6,OMS-1004202230087,10-04-2022,C-0533,Equipment point,PB-3AO356J8Y,225,170,10-04-2022,30DAYS,Ashit singh,AIIMS,0,Blood Bag,0,0,
7,OMS-1004202230087,10-04-2022,C-0533,Equipment point,PB-3AO456J8X,400,145,10-04-2022,30DAYS,Ashit singh,AIIMS,0,Blood Bag,0,0,
8,OMS-1004202230087,10-04-2022,C-0533,Equipment point,PB-2CD356J8Y,600,105,10-04-2022,30DAYS,Ashit singh,AIIMS,0,Blood Bag,0,0,
9,OMS-1004202230087,10-04-2022,C-0533,Equipment point,PB-2CD456J8Y,300,105,10-04-2022,30DAYS,Ashit singh,AIIMS,0,Blood Bag,0,0,
10,OMS-1004202230087,10-04-2022,C-0533,Equipment point,PB-3BO456J8Y,64,190,10-04-2022,30DAYS,Ashit singh,AIIMS,0,Blood Bag,0,0,
11,OMS-1004202230087,10-04-2022,C-0533,Equipment point,PB-3CD456J8Y,500,145,10-04-2022,30DAYS,Ashit singh,AIIMS,0,Blood Bag,0,0,
12,OMS-1004202230087,10-04-2022,C-0533,Equipment point,PB-3AO456J8Y,400,180,10-04-2022,30DAYS,Ashit singh,AIIMS,0,Blood Bag,0,0,
